name,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,co2_emiss_prev_year,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,0.04,684140,4.79%,3376557,0.2,0.00%,0.19042,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,0.09,169939,7.18%,194535,0.87,0.00%,0.807534,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,0.01,639352,1.51%,63362,10.09,0.00%,9.937641,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,0,406057,1.52%,62569,6.49,0.00%,6.391352,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,0,495687,4.63%,1219288,0.41,0.00%,0.391017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,0.01,1508851,2.97%,929112,1.62,0.00%,1.571886,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,0.05,1268442,2.57%,14185636,0.09,0.00%,0.087687,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,0.18,1953,0.60%,48173,0.04,0.00%,0.03976,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,0.1,1003249,7.18%,274575,3.65,0.00%,3.38793,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,0.39,318438,2.58%,2075030,0.15,0.00%,0.14613,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,0.36,1114105,1.51%,368400,3.02,0.00%,2.974398,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,0.06,99687,2.59%,531146,0.19,0.00%,0.185079,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,0,519693,2.62%,95710,5.43,0.00%,5.287734,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,0.06,1272332,3.43%,7328834,0.17,0.00%,0.164169,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,0.28,1530,0.86%,56412,0.03,0.00%,0.029742,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,0.36,1473719,1.73%,267821,5.5,0.00%,5.40485,,,,,,,,,,,,,,,,,,,,,,,,,,,
