name,energy,energy_source,,,,,
Brazil,1.26E+12,Gas,,,,,
France,1.64E+12,Gas,,,,,
South Korea,1.90E+12,Gas,,,,,
Iran,7.77E+12,Gas,,,,,
Germany,3.38E+12,Gas,,,,,
Canada,4.67E+12,Gas,,,,,
Russia,1.71E+13,Gas,,,,,
United States,2.83E+13,Gas,,,,,
Japan,4.85E+12,Gas,,,,,
India,2.13E+12,Gas,,,,,
Antigua and Barbuda,0,Gas,,,,,
Singapore,0,Coal,,,,,
Poland,2.30E+12,Coal,,,,,
Argentina,38675200000,Coal,,,,,
Netherlands,3.94E+11,Coal,,,,,
Kazakhstan,2.29E+12,Coal,,,,,
Malaysia,7.03E+11,Coal,,,,,
United Arab Emirates,93340000000,Coal,,,,,
Ukraine,1.05E+12,Coal,,,,,
Egypt,80247200000,Coal,,,,,
Thailand,6.62E+11,Coal,,,,,
China,8.74E+13,Coal,,,,,
Turkey,1.67E+12,Coal,,,,,
Taiwan,1.40E+12,Coal,,,,,
Australia,1.78E+12,Coal,,,,,
Falkland Islands,0,Coal,,,,,
Spain,4.58E+11,Coal,,,,,
Kiribati,0,Coal,,,,,
Tonga,0,Coal,,,,,
South Africa,3.97E+12,Coal,,,,,
Saint Pierre & Miquelon,0,Coal,,,,,
St. Vincent & Grenadines,0,Coal,,,,,
Sao Tome & Principe,0,Coal,,,,,
Cook Islands,0,Coal,,,,,
British Virgin Islands,0,Coal,,,,,
Western Sahara,0,Coal,,,,,
Comoros,0,Coal,,,,,
Saint Kitts & Nevis,0,Coal,,,,,
Turks and Caicos,0,Coal,,,,,
Vanuatu,0,Coal,,,,,
Dominica,0,Coal,,,,,
Chad,0,Coal,,,,,
Grenada,0,Coal,,,,,
Burundi,0,Coal,,,,,
Guinea-Bissau,0,Coal,,,,,
Solomon Islands,0,Coal,,,,,
Central African Republic,0,Coal,,,,,
Saint Lucia,0,Coal,,,,,
Gambia,0,Coal,,,,,
Eritrea,0,Coal,,,,,
Samoa,0,Coal,,,,,
Bermuda,0,Coal,,,,,
Cayman Islands,0,Coal,,,,,
Timor-Leste,0,Coal,,,,,
Djibouti,0,Coal,,,,,
Somalia,0,Coal,,,,,
Faeroe Islands,0,Coal,,,,,
French Polynesia,0,Coal,,,,,
Lesotho,0,Coal,,,,,
Belize,0,Coal,,,,,
Cabo Verde,0,Coal,,,,,
Seychelles,0,Coal,,,,,
Sierra Leone,0,Coal,,,,,
Greenland,0,Coal,,,,,
French Guiana,0,Coal,,,,,
Rwanda,0,Coal,,,,,
Liberia,0,Coal,,,,,
Eswatini,3270301280,Coal,,,,,
Maldives,0,Coal,,,,,
Aruba,0,Coal,,,,,
Guadeloupe,0,Coal,,,,,
